No,Type 1,Type,Posted,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,ER,Lockdown o,Lockdown,Time,Week,week 100
58,22,Straight-tell,12:54:07 AM,57404,68504,2831,4.13%,100,Lockdown,1,Day,100
59,22,Straight-tell,4:40:32 AM,149634,177561,11363,6.40%,100,Lockdown,1,End,200
60,22,Straight-tell,7:00:38 PM,53125,63316,3081,4.87%,100,Lockdown,4,Day,100
61,22,Straight-tell,1:09:22 AM,31769,36986,1337,3.61%,100,Lockdown,1,Day,100
62,22,Straight-tell,8:18:51 PM,39784,48205,2158,4.48%,100,Lockdown,4,Day,100
63,22,Straight-tell,12:00:28 AM,28000,35327,1242,3.52%,100,Lockdown,1,Day,100
64,22,Straight-tell,6:53:14 PM,30748,36681,1328,3.62%,100,Lockdown,4,End,200
65,33,Testimonial,2:55:19 AM,21797,28196,1085,3.85%,100,Lockdown,1,Day,100
66,33,Testimonial,7:03:31 PM,25518,31098,1253,4.03%,100,Lockdown,4,Day,100
67,33,Testimonial,1:23:31 PM,18998,20669,1475,7.14%,100,Lockdown,3,Day,100
68,33,Testimonial,5:08:00 PM,59785,67432,2843,4.22%,200,BC,3,End,200
